key,pubkey,seen_count,first_seen_unix,last_seen_unix,severity,classification,action,pool,role,dex
CfZTL86UvfmT3biprZFQhQk8JhiWDn3YaqmXTFmTXBig:Has2dQDkTXyzEm5HKCDyxHuCwPcPwf1PN6zQg7JKt9Xn:tokenAccountB:live_state_stale,CfZTL86UvfmT3biprZFQhQk8JhiWDn3YaqmXTFmTXBig,18,1781354239,1781356803,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,Has2dQDkTXyzEm5HKCDyxHuCwPcPwf1PN6zQg7JKt9Xn,tokenAccountB,ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA
CyCUgmaCYUZxbux3J2svDzxSryVFMtZNPrnMKS41nc4G::unknown:normal,CyCUgmaCYUZxbux3J2svDzxSryVFMtZNPrnMKS41nc4G,1,1781355588,1781355588,needs_manual_check,normal,none,,unknown,unknown
D1jnRhUWezJmk4TdskJkSwncC3ThdRJnxmTnBECVebkh::unknown:live_state_stale,D1jnRhUWezJmk4TdskJkSwncC3ThdRJnxmTnBECVebkh,2,1781355117,1781355118,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
DBxLBME3MbN1oEQhah8adNxYFwuLwhkr7BM3SEJ4uoTC:3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9:tokenAccountA:live_state_stale,DBxLBME3MbN1oEQhah8adNxYFwuLwhkr7BM3SEJ4uoTC,16,1781354301,1781356172,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,tokenAccountA,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
DGgbAS3oHCWNGxhyUv2uMRc1ZXDbkDFsNfD9HyTJdHyd::unknown:live_state_stale,DGgbAS3oHCWNGxhyUv2uMRc1ZXDbkDFsNfD9HyTJdHyd,17,1781354239,1781356803,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ:DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ:pool:live_state_stale,DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,3,1781354438,1781354598,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,pool,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq
DMQver7kdMua1ANBY1rJPEFCX594zWn81ihv2yMVFEsF:GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV:tokenAccountA:live_state_stale,DMQver7kdMua1ANBY1rJPEFCX594zWn81ihv2yMVFEsF,1,1781355777,1781355777,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV,tokenAccountA,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
DQyrAcCrDXQ7NeoqGgDCZwBvWDcYmFCjSb9JtteuvPpz:58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2:tokenAccountA:normal,DQyrAcCrDXQ7NeoqGgDCZwBvWDcYmFCjSb9JtteuvPpz,1,1781354250,1781354250,needs_grpc_live_state,normal,none,58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,tokenAccountA,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
DbTYuFpdELAgyZBhX7TaTVDGYq1dJSQqdnAhtWHjxPjP:DbTYuFpdELAgyZBhX7TaTVDGYq1dJSQqdnAhtWHjxPjP:pool:normal,DbTYuFpdELAgyZBhX7TaTVDGYq1dJSQqdnAhtWHjxPjP,3,1781355441,1781355442,needs_grpc_live_state,normal,none,DbTYuFpdELAgyZBhX7TaTVDGYq1dJSQqdnAhtWHjxPjP,pool,ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA
DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2:DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2:pool:live_state_stale,DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2,3,1781356730,1781356816,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2,pool,DEXYosS6oEGvk8uCDayvwEZz4qEyDJRf9nFgYCaqPMTm
